ex_id	id	example_name	subexample_name	text	tree	sent_len
16	97-103	Lexical	L	ӿоӄот, ӿы нивхгу сык, ӿы во фи нивхгу сык п’р̌ыф, п’р̌орыфку сидьғу п’инёғу сык выкзғыр̌ть, энафтох видь, эна эрирох вит.	-	20	нивхгу	8	0
17	109-110	Lexical	L	эна во фиӈан ӿы нивхгу сык ӄ’ордь фуру	-	8	нивхгу	5	0
18	112	Lexical	L	ӄ’ола нивхгу пак сык ӿы во.	-	6	нивхгу	2	0
19	117-118	Lexical	L	ӿоӄот, нивх во, нивх во фурт итт, ӿоӄот мер нивхгу малғодь фуру.	-	12	нивх	2	0
20	117-118	Lexical	L	ӿоӄот, нивх во, нивх во фурт итт, ӿоӄот мер нивхгу малғодь фуру.	-	12	нивх	4	0
21	117-118	Lexical	L	ӿоӄот, нивх во, нивх во фурт итт, ӿоӄот мер нивхгу малғодь фуру.	-	12	нивхгу	10	0
22	125-126	Lexical	L	(нивх), чола нивхгу ағар ӿутох п’р̌ыпа ӄ’орта ӿа фуру	-	9	нивх	1	0
23	125-126	Lexical	L	(нивх), чола нивхгу ағар ӿутох п’р̌ыпа ӄ’орта ӿа фуру	-	9	нивхгу	3	0
24	129-131	Lexical	L	ӿоғот, нығара р̌атох викир̌к и (где) нивхгу (живут) (там) (и) тамла во ӿакути	-	13	нивхгу	7	0
25	1-2	Lexical	L	[ГЛ:] мер нивхгу итға, ӿыдь, мен ӿыдь нен	-	8	нивхгу	2	0
26	3-4	Lexical	L	каӈгу фурғар энагут юрут, нивхгу фурғар энагут юрут	-	8	нивхгу	5	0
27	9-14	Lexical	L	[ВХ:] яӈгут итныдят ағар̌ ӿыдь ырк (это) нен, ӄан нен, ӄан нен, ӄан мор̌, ӿоӈгут ӄаӈге нивхге ӈалагут итныдьля йығзыӈан, яӈгут ӈалагут итныдь, (нет)	-	24	нивхге	16	0
28	15	Lexical	L	чи нивх ӿаӈан ӄан ӈалагур̌	-	5	нивх	2	0
29	23	Lexical	L	[ГЛ:] а, нивх нен,	-	4	нивх	2	0
30	24	Lexical	L	[ВХ:] нивх нен,	-	3	нивх	1	0
31	70-71	Lexical	L	[ГЛ:] тукр̌ п’ин нивхгу сык [ВХ:] т’хырпғыр̌тох (?)	-	8	нивхгу	3	0
32	72	Lexical	L	[ГЛ:] нивх дитр̌ к’еспурта ӄ’ауныӄан	-	5	нивх	1	0
33	13-14	Lexical	L	нивӈ неӈ, хуӈ кыӄкыӄ хат, чӈыр̌ мироӽ кыккык индыр̌, п’р̌афтох р̌ор вид, пуньдь ху сивуд.	-	15	нивӈ	1	0
34	24	Lexical	L	ӿун аре мамӽть муд, нивӈгун мамӽть выкыздгун.	-	7	нивӈгун	5	0
35	1	Lexical	L	ығ миф нивӈгун Ниғвӈгун	-	4	нивӈгун	3	0
36	2	Lexical	L	Лер миф область (–) мролф нивӈгун миф	-	7	нивӈгун	6	0
37	3-5	Lexical	L	мен мифух ныкр̌ немӄа нивӈ ӿунвд, тяй ин ӽомиух ор̌ӈар̌куну, ӄилӈӻуну лавгуну сикм пӈафӄ ӈафӄ ӽомиух ёпут ӿунвдӻун	-	18	нивӈ	5	0
38	4-5	Lexical	L	наф мер нивх намагур йимныдь яӈгут ӿумдьғу пал ӈағу, пыйӈағу.	-	10	нивх	3	0
39	6-7	Lexical	L	ырыкон мер нивхгу иттьғу: намагур яғо, пал йимья, яӈгур ӿуйн ӿумдь имғ пал тор̌.	-	14	нивхгу	3	0
40	17-18	Lexical	L	ӿогур Тодя пандь сидь ӿагин ныныдь юғзура, нивхгудох ыкисгур к’еспурра, п’и вак смора.	-	13	нивхгудох	8	0
41	19-21	Lexical	L	воух иф ныӈӈан нивхгу энафтох вит’адьғу, эрх пергудьғу, иф аӈдох ӿагин намагур иттоӽ ӄ’аудь.	-	14	нивхгу	4	0
42	33-34	Lexical	L	ытыкғе ымыкғе эзмудьғу, имх оӻла урла нивх муныдь, сидь ваклу ныныдь йимныдь.	-	12	нивх	7	0
43	49-50	Lexical	L	ӿуйн сык ӈаӈыӈ нивхгу ӈаӈыӈт ныӈдьғу, сидь ваклу ӈ малғодь.	-	10	нивхгу	4	0
44	55	Lexical	L	Тодя т’хырпть ырыкон нивхгу итьғу.	-	5	нивхгу	4	0
45	65-66	Lexical	L	ӿуӈгу вес ырты, ырты палух пыйра, пак ӿумра, нивхгу клура чоӈрӈа иньра.	-	12	нивхгу	9	0
46	2-3	Lexical	L	ырыкон пила нивхгу иттьғу Лер ӿитфар ӄ’аура эна хитфкуар ӄ’аута хадь фуру.	-	12	нивхгу	3	0
47	19-20	Lexical	L	ӿоӈан Тол Ызғо, Пал Ызғо ӈагитэ, чогитэ, толӈагитэ нивхгу ардьгу.	-	10	нивхгу	9	0
48	21	Lexical	L	нивхгу куғыт ӿумдьгу.	-	3	нивхгу	1	0
49	24-25	Lexical	L	ньр̌ак ӿиула нивх Магун ӈарӻор вийныр тыӈздь.	-	7	нивх	3	0
50	115-116	Lexical	L	нивхгу мыкс п’урдьғу (:) ӈыньгладьғу урди ӄ’аудьғу.	-	7	нивхгу	1	0
51	1	Lexical	L	п’нар̌ ниӻывыӈ нин быр̌к павр̌.	-	5	ниӻывыӈ	2	0
52	12-14	Lexical	L	ӿезнарох теӻар̌, туск поллур̌ соӈхсоӈхр̌, чнай йаир̌, мхоӈ ниӻывыӈ чнай йаир̌, пундло ӄ’ахло куло ӿуӈ чнайхун кимыр̌.	-	17	ниӻывыӈ	9	0
53	15	Lexical	L	«ӿалве, пал ниӻывыӈтох ухмуве!	-	4	ниӻывыӈтох	3	0
54	16-18	Lexical	L	пал ниӻывыӈ нер̌ аки кундра, тол ниӻывыӈ нер̌ кундра: ни тол ниӻывыӈтох ухмуиндра, чиӈ пал ниӻывыӈтох ухмуве!»	-	17	ниӻывыӈ	2	0
55	16-18	Lexical	L	пал ниӻывыӈ нер̌ аки кундра, тол ниӻывыӈ нер̌ кундра: ни тол ниӻывыӈтох ухмуиндра, чиӈ пал ниӻывыӈтох ухмуве!»	-	17	ниӻывыӈ	7	0
56	16-18	Lexical	L	пал ниӻывыӈ нер̌ аки кундра, тол ниӻывыӈ нер̌ кундра: ни тол ниӻывыӈтох ухмуиндра, чиӈ пал ниӻывыӈтох ухмуве!»	-	17	ниӻывыӈтох	12	0
57	16-18	Lexical	L	пал ниӻывыӈ нер̌ аки кундра, тол ниӻывыӈ нер̌ кундра: ни тол ниӻывыӈтох ухмуиндра, чиӈ пал ниӻывыӈтох ухмуве!»	-	17	ниӻывыӈтох	16	0
58	32	Lexical	L	мыз ниӻывыӈ итр̌: ни пал ниӻывыӈта (!)	-	7	ниӻывыӈта	6	0
59	43-44	Lexical	L	ниӈ пал ниӻывыӈтох ухмут теӻындхун, пал ниӻывыӈкун сик изин кухарындра, пал милк нан кундра (!)	-	15	ниӻывыӈтох	3	0
60	43-44	Lexical	L	ниӈ пал ниӻывыӈтох ухмут теӻындхун, пал ниӻывыӈкун сик изин кухарындра, пал милк нан кундра (!)	-	15	ниӻывыӈкун	7	0
61	47-49	Lexical	L	ниӻывыӈат итнд сик куве, ту миф пиӈ ӈа сик куве, ту миф пиӈ милк сик куве (!)	-	17	ниӻывыӈат	1	0
62	70	Lexical	L	ӿу мам итр̌: чи р̌акрух пр̌ы ниӻывыӈӈа (?)	-	8	ниӻывыӈӈа	7	0
63	82	Lexical	L	ӿу мам итр̌: ола, ту ниӻывыӈ авья (!)	-	8	ниӻывыӈ	6	0
64	86-87	Lexical	L	мыз ниӻывыӈкин панӻейхин угрыт ехт пфорох пр̌ыт.	-	7	ниӻывыӈкин	2	0
65	89	Lexical	L	мыз ниӻывыӈ итр̌: чхар̌ чнайя, кер̌ ивло (?)	-	8	ниӻывыӈ	2	0
66	91	Lexical	L	ниӻывыӈ ӄ’а чиӈ сик куло (?)	-	6	ниӻывыӈ	1	0
67	92-94	Lexical	L	ӿуӈ чхар̌ чнай итр̌: ниӻывыӈ ӄ’а чиӈ сик кундра, ӈа ӄ’а чиӈ сик кундра, унир̌к сик кундра, милк сик кундра, ни нафат ехын вииндра (?)	-	25	ниӻывыӈ	5	0
68	124-125	Lexical	L	йугӈа, ытыта.... ниӻывыӈ малхохра!	-	4	ниӻывыӈ	3	0
69	126	Lexical	L	ычих неныӈ озир̌: чи р̌акрух пр̌ыӈ ниӻывыӈӈа (?)	-	8	ниӻывыӈӈа	7	0
70	128-129	Lexical	L	милкло тлы ниӻывыӈло, тлы милкло сик р̌ор̌ пр̌ын ухмунта (!)	-	10	ниӻывыӈло	3	0
71	130-132	Lexical	L	ӿуӈ ычх: олхуна, вин илкло ниӻывыӈло сик хген р̌ор̌ пр̌ын ухмунда (!)	-	12	ниӻывыӈло	6	0
72	133-134	Lexical	L	ӿу ниӻывыӈ кузир̌ вир̌, милк сик ниӻывыӈ сик гер̌ р̌ор̌ пр̌ыр̌.	-	11	ниӻывыӈ	2	0
73	133-134	Lexical	L	ӿу ниӻывыӈ кузир̌ вир̌, милк сик ниӻывыӈ сик гер̌ р̌ор̌ пр̌ыр̌.	-	11	ниӻывыӈ	7	0
74	135	Lexical	L	мыз ниӻывыӈ кузир̌: ӿалве, ухмунта (!)	-	6	ниӻывыӈ	2	0
75	139-140	Lexical	L	ӿала, пал ниӻывыӈ ворох вин ивнате, пал милк мунате!»	-	9	ниӻывыӈ	3	0
76	1	Lexical	L	Курӈ маӈӷла Ызык сыкык нуғи нивхкун лытт фур (история)	-	9	нивхкун	6	0
77	5	Lexical	L	ӿы ырух Иф напа нивх лытта ӄ’аут, йаӽ миф к’ыхтюк’ыхтюкуйны нивх.	-	11	нивх	5	0
78	5	Lexical	L	ӿы ырух Иф напа нивх лытта ӄ’аут, йаӽ миф к’ыхтюк’ыхтюкуйны нивх.	-	11	нивх	11	0
79	7-8	Lexical	L	ӿаӈан Курӈ маӈӷла Ызык миф туитғир̌ нивх лытра, ух к’уты фувра, ӿакур̌ нивх морӄакут.	-	14	нивх	7	0
80	7-8	Lexical	L	ӿаӈан Курӈ маӈӷла Ызык миф туитғир̌ нивх лытра, ух к’уты фувра, ӿакур̌ нивх морӄакут.	-	14	нивх	13	0
81	9-10	Lexical	L	Курӈ маӈӷла Ызык п’и нуғи лытт садух, Эдем ӽау садух, нивғаӽ ӿумкут.	-	12	нивғаӽ	11	0
82	17-20	Lexical	L	Курӈ маӈӷла Ызык нивх херт (:) «чи ты садух р̌апра алс ӿакин иний парат, урла нығу, т’аӽта нығу йимыкуйны тиғрух пак алс нинт ығъя».	-	24	нивх	4	0
83	22-23	Lexical	L	накрор̌ Курӈ маӈӷла Ызык п’и лытт ӈағунты, пыйӈағунты нивхтоӽ п’рыкут.	-	10	нивхтоӽ	9	0
84	24	Lexical	L	нивх р̌апра ӄ’а ин химныт йамайныт.	-	6	нивх	1	0
85	25-26	Lexical	L	ӿакур̌ ӿы ӈағунтоӽке, пыйӈағунтоӽке р̌апра ӄ’а нивх ин химт, ӿапра ӄ’ағун ин вотғут.	-	13	нивх	7	0
86	27-28	Lexical	L	наквур нивх ӿы ӈағун, пыйӈағун т’аӻрух п’роны парак, п’ӈалак р̌ныта ӄ’аут.	-	11	нивх	2	0
87	30	Lexical	L	«нивх нен пак ӿат ыкитра.	-	5	нивх	1	0
88	32-35	Lexical	L	Курӈ маӈӷла Ызык ӿы нивхтоӽ тяӄа т’ый ныр̌ ӄ’окур̌, йух ӈарм няӄр̌ ғера, ӈарм ғефух вығвығр̌, ӿарор̌ ӿал ӿамамфкир̌ йыра ӿат.	-	21	нивхтоӽ	5	0
89	36	Lexical	L	ӿы ӈармкир̌ Иф умкун лытт, накрор̌ нивхтоӽ йаӽ п’рыкут.	-	9	нивхтоӽ	7	0
90	37-38	Lexical	L	нивх озӈан, умкун итыр̌, итт (:) «тынынра, ни ӈыньфкир̌, ни ӿал ӿамамфкир̌ илытт.	-	13	нивх	1	0
91	42-43	Lexical	L	тапракут сыкык нуғи нивхкун лытт, мер ӿат сыкм инух пат нивхкунта.	-	11	нивхкун	4	0
92	42-43	Lexical	L	тапракут сыкык нуғи нивхкун лытт, мер ӿат сыкм инух пат нивхкунта.	-	11	нивхкунта	11	0
93	1-2	Lexical	L	Ӄоӄр лафиӈ нивхгу энагут итть фурта, ӿоӻа к’ес п’урк рыу пособияух иғрығта.	-	12	нивхгу	3	0
94	5-6	Lexical	L	П’ор нуғи ни нивхгу алфавитух ("ч’") т’ат итк буква ӄаудь фурыйныдь.	-	11	нивхгу	4	0
95	26-27	Lexical	L	К’инӈула лингвистғу п’идиф йим мер нивғгу к’ымла ӄоӻа итве!	-	9	нивғгу	6	0
96	133	Lexical	L	Ты нивх паӄрдь.	-	3	нивх	2	0
97	136	Lexical	L	Ты нивх вальтькра.	-	3	нивх	2	0
98	138-139	Lexical	L	Ч’орбаӽ ч’орла баӽ йив миф, ӿоӻот ӿы мивух ӿум ӽото мер нивхгу Ч’орбаӽ ӽаугудьғу.	-	14	нивхгу	12	0
99	160	Lexical	L	мер нивхгу заскит тиғр волут’адь.	-	5	нивхгу	2	0
100	243-244	Lexical	L	п’ситр ит йим нивх барк йимдь, ягут мыкргут раюныдь.	-	9	нивх	4	0
101	253-254	Lexical	L	Мыкргут п’ситт ит йим нивхгу сыкык ӿыскть.	-	7	нивхгу	5	0
102	1	Lexical	L	ньр̌ак, Иисус пʼрыу нивхгу йаӽ меӻракроӽ пʼыскымгуйныт йыздьғу.	-	8	нивхгу	4	0
103	10	Lexical	L	ньыӈ эна нивхгу наӈр̌ тʼхыр̌пғыттьра.	-	5	нивхгу	3	0
104	6-8	Lexical	L	нин п’ух наӈр̌ во нивхкунтоӽ урр̌кир̌ т’хыпт ӈалакур̌, нин наӈр̌кун Ӄ’оӻа урр̌кир̌ т’хыр̌ғытйа.	-	13	нивхкунтоӽ	5	0
105	30	Lexical	L	Нырӈ чоӈанӻӈ нивӈгун муспи фидғун.	-	5	нивӈгун	3	0
106	36	Lexical	L	нивӈ тафтоӽ вид.	-	3	нивӈ	1	0
107	41	Lexical	L	пила нивӈгун т’аруроӽ видғун.	-	4	нивӈгун	2	0
108	1-2	Lexical	L	пила нивӈ менӈ п’ӈафӄ ӈафӄроӽ мяӽр адғун: т’ад эр̌ӄӈ тик мор̌кар̌ ӿунвид.	-	12	нивӈ	2	0
109	4-5	Lexical	L	ӿағи ғе нивӈ ағр̌ тигиск ӄодя ӄаврра, нуднуд айра, п’ӈафӄ нр̌ыба эӽӈавра.	-	12	нивӈ	3	0
110	6-8	Lexical	L	ӿапс ге нивӈ мякр̌ муғф ку выр̌к яфтт, ӿарор̌ ӈаўр̌ ӄор̌ поср̌ ӿунвра, валди ӄаврра.	-	15	нивӈ	3	0
111	9-10	Lexical	L	нивӈ итд: ӿағи урла чӈыр̌, ӿорра, ыки п’ерӈгун хура.	-	9	нивӈ	1	0
112	11	Lexical	L	толф п’р̌ыӈы, нивӈгун лес.	-	4	нивӈгун	3	0
